"Port","Service","Protocol","Description"
"0","","tcp","Reserved"
"0","","udp","Reserved"
"1","tcpmux","tcp","TCP Port Service Multiplexer"
"1","tcpmux","udp","TCP Port Service Multiplexer"
"2","compressnet","tcp","Management Utility"
"2","compressnet","udp","Management Utility"
"3","compressnet","tcp","Compression Process"
"3","compressnet","udp","Compression Process"
"4","","tcp","Unassigned"
"4","","udp","Unassigned"
"5","rje","tcp","Remote Job Entry"
"5","rje","udp","Remote Job Entry"
"6","","tcp","Unassigned"
"6","","udp","Unassigned"
"7","echo","tcp","Echo"
"7","echo","udp","Echo"
"8","","tcp","Unassigned"
"8","","udp","Unassigned"
"9","discard","tcp","Discard"
"9","discard","udp","Discard"
"9","discard","sctp","Discard"
"9","discard","dccp","Discard"
"10","","tcp","Unassigned"
"10","","udp","Unassigned"
"11","systat","tcp","Active Users"
"11","systat","udp","Active Users"
"12","","tcp","Unassigned"
"12","","udp","Unassigned"
"13","daytime","tcp","Daytime"
"13","daytime","udp","Daytime"
"14","","tcp","Unassigned"
"14","","udp","Unassigned"
"15","","tcp","Unassigned [was netstat]"
"15","","udp","Unassigned"
"16","","tcp","Unassigned"
"16","","udp","Unassigned"
"17","qotd","tcp","Quote of the Day"
"17","qotd","udp","Quote of the Day"
"18","msp","tcp","Message Send Protocol (historic)"
"18","msp","udp","Message Send Protocol (historic)"
"19","chargen","tcp","Character Generator"
"19","chargen","udp","Character Generator"
"20","ftp-data","tcp","File Transfer [Default Data]"
"20","ftp-data","udp","File Transfer [Default Data]"
"20","ftp-data","sctp","FTP"
"21","ftp","tcp","File Transfer Protocol [Control]"
"21","ftp","udp","File Transfer Protocol [Control]"
"21","ftp","sctp","FTP"
"22","ssh","tcp","The Secure Shell (SSH) Protocol"
"22","ssh","udp","The Secure Shell (SSH) Protocol"
"22","ssh","sctp","SSH"
"23","telnet","tcp","Telnet"
"23","telnet","udp","Telnet"
"24","","tcp","any private mail system"
"24","","udp","any private mail system"
"25","smtp","tcp","Simple Mail Transfer"
"25","smtp","udp","Simple Mail Transfer"
"26","","tcp","Unassigned"
"26","","udp","Unassigned"
"27","nsw-fe","tcp","NSW User System FE"
"27","nsw-fe","udp","NSW User System FE"
"28","","tcp","Unassigned"
"28","","udp","Unassigned"
"29","msg-icp","tcp","MSG ICP"
"29","msg-icp","udp","MSG ICP"
"30","","tcp","Unassigned"
"30","","udp","Unassigned"
"31","msg-auth","tcp","MSG Authentication"
"31","msg-auth","udp","MSG Authentication"
"32","","tcp","Unassigned"
"32","","udp","Unassigned"
"33","dsp","tcp","Display Support Protocol"
"33","dsp","udp","Display Support Protocol"
"34","","tcp","Unassigned"
"34","","udp","Unassigned"
"35","","tcp","any private printer server"
"35","","udp","any private printer server"
"36","","tcp","Unassigned"
"36","","udp","Unassigned"
"37","time","tcp","Time"
"37","time","udp","Time"
"38","rap","tcp","Route Access Protocol"
"38","rap","udp","Route Access Protocol"
"39","rlp","tcp","Resource Location Protocol"
"39","rlp","udp","Resource Location Protocol"
"40","","tcp","Unassigned"
"40","","udp","Unassigned"
"41","graphics","tcp","Graphics"
"41","graphics","udp","Graphics"
"42","name","tcp","Host Name Server"
"42","name","udp","Host Name Server"
"42","nameserver","tcp","Host Name Server"
"42","nameserver","udp","Host Name Server"
"43","nicname","tcp","Who Is"
"43","nicname","udp","Who Is"
"44","mpm-flags","tcp","MPM FLAGS Protocol"
"44","mpm-flags","udp","MPM FLAGS Protocol"
"45","mpm","tcp","Message Processing Module [recv]"
"45","mpm","udp","Message Processing Module [recv]"
"46","mpm-snd","tcp","MPM [default send]"
"46","mpm-snd","udp","MPM [default send]"
"47","","tcp","Reserved"
"47","","udp","Reserved"
"48","auditd","tcp","Digital Audit Daemon"
"48","auditd","udp","Digital Audit Daemon"
"49","tacacs","tcp","Login Host Protocol (TACACS)"
"49","tacacs","udp","Login Host Protocol (TACACS)"
"50","re-mail-ck","tcp","Remote Mail Checking Protocol"
"50","re-mail-ck","udp","Remote Mail Checking Protocol"
"51","","","Reserved"
"52","xns-time","tcp","XNS Time Protocol"
"52","xns-time","udp","XNS Time Protocol"
"53","domain","tcp","Domain Name Server"
"53","domain","udp","Domain Name Server"
"54","xns-ch","tcp","XNS Clearinghouse"
"54","xns-ch","udp","XNS Clearinghouse"
"55","isi-gl","tcp","ISI Graphics Language"
"55","isi-gl","udp","ISI Graphics Language"
"56","xns-auth","tcp","XNS Authentication"
"56","xns-auth","udp","XNS Authentication"
"57","","tcp","any private terminal access"
"57","","udp","any private terminal access"
"58","xns-mail","tcp","XNS Mail"
"58","xns-mail","udp","XNS Mail"
"59","","tcp","any private file service"
"59","","udp","any private file service"
"60","","tcp","Unassigned"
"60","","udp","Unassigned"
"61","","tcp","Reserved"
"61","","udp","Reserved"
"62","acas","tcp","ACA Services"
"62","acas","udp","ACA Services"
"63","whoispp","tcp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
"63","whois++","tcp","whois++"
"63","whoispp","udp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""."
"63","whois++","udp","whois++"
"64","covia","tcp","Communications Integrator (CI)"
"64","covia","udp","Communications Integrator (CI)"
"65","tacacs-ds","tcp","TACACS-Database Service"
"65","tacacs-ds","udp","TACACS-Database Service"
"66","sql-net","tcp","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
"66","sql*net","tcp","Oracle SQL*NET"
"66","sql-net","udp","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
"66","sql*net","udp","Oracle SQL*NET"
"67","bootps","tcp","Bootstrap Protocol Server"
"67","bootps","udp","Bootstrap Protocol Server"
"68","bootpc","tcp","Bootstrap Protocol Client"
"68","bootpc","udp","Bootstrap Protocol Client"
"69","tftp","tcp","Trivial File Transfer"
"69","tftp","udp","Trivial File Transfer"
"70","gopher","tcp","Gopher"
"70","gopher","udp","Gopher"
"71","netrjs-1","tcp","Remote Job Service"
"71","netrjs-1","udp","Remote Job Service"
"72","netrjs-2","tcp","Remote Job Service"
"72","netrjs-2","udp","Remote Job Service"
"73","netrjs-3","tcp","Remote Job Service"
"73","netrjs-3","udp","Remote Job Service"
"74","netrjs-4","tcp","Remote Job Service"
"74","netrjs-4","udp","Remote Job Service"
"75","","tcp","any private dial out service"
"75","","udp","any private dial out service"
"76","deos","tcp","Distributed External Object Store"
"76","deos","udp","Distributed External Object Store"
"77","","tcp","any private RJE service"
"77","","udp","any private RJE service"
